,precision,recall,f1-score,support
Tomato_Early_blight,0.9186046511627907,0.79,0.8494623655913979,200.0
Tomato_healthy,0.9875389408099688,0.9968553459119497,0.9921752738654147,318.0
Tomato_Late_blight,0.896551724137931,0.9528795811518325,0.9238578680203046,382.0
Tomato_Leaf_Mold,0.9375,0.9424083769633508,0.9399477806788512,191.0
accuracy,0.9340054995417049,0.9340054995417049,0.9340054995417049,0.9340054995417049
macro avg,0.9350488290276726,0.9205358260067833,0.9263608220389921,1091.0
weighted avg,0.9342837507156901,0.9340054995417049,0.9329495342813001,1091.0
